PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NC0286101,BANNERTOWN HILLS S/D,Community water system,Ground water,Surry,MT AIRY,71,7,66,38
NC0392211,BARCLAY DOWNS S/D,Community water system,Ground water,Wake,KNIGHTDALE,314,7,2,17
NC0180501,BARGER PARK,Community water system,Ground water,Rowan,CHINA GROVE,58,3,18,68
NC4092066,BARRINGTON HILLS S/D,Community water system,Ground water,Wake,GARNER,122,7,0,11
NC0464101,BASS MH COURT,Community water system,Ground water,Nash,NASHVILLE,99,4,150,24
NC0407030,BATH WATER SYSTEM,Community water system,Ground water purchased,Beaufort,BATH,290,7,12,68
NC0114025,BATON WATER CORPORATION,Community water system,Surface water purchased,Caldwell,GRANITE FALLS,"7,112",6,0,67
NC4392109,BAY LAUREL S/D,Community water system,Ground water,Wake,WAKE FOREST,58,4,1,16
NC0118118,BAY POINTE S/D,Community water system,Ground water,Catawba,SHERILLS FORD,89,4,6,22
NC0136364,BAYBERRY S/D,Community water system,Ground water,Gaston,GASTONIA,66,4,1,26
NC0392373,BAYLEAF MASTER,Community water system,Ground water,Wake,RALEIGH,"15,697",300,120,136
NC0392218,BAYWOOD FOREST S/D,Community water system,Ground water,Wake,KNIGHTDALE,533,10,82,16
NC3041086,BEACON HILL S/D,Community water system,Ground water,Guilford,,116,4,0,15
NC0136389,BEACON HILLS SD,Community water system,Ground water,Gaston,GASTONIA,109,4,5,36
NC0149186,BEACON POINTE S/D,Community water system,Ground water,Iredell,MOORESVILLE,117,4,41,19
NC0156129,BEAR DEN ACRES,Community water system,Ground water,McDowell,SPRUCE PINE,140,6,4,16
NC1050057,BEAR LAKE RESERVE 1B,Community water system,Ground water,Jackson,,94,13,8,17
NC1050034,BEAR LAKE RESERVE GOLDEN FARMS,Community water system,Ground water,Jackson,CULLOWHEE,46,4,12,16
NC0120103,BEAR PAW RESORT,Community water system,Ground water,Cherokee,MURPHY,909,13,20,30
NC0145178,BEAR WALLOW VALLEY MHP,Community water system,Ground water,Henderson,EDNEYVILLE,124,4,13,20
NC0276158,BEARD ACRES,Community water system,Surface water purchased,Randolph,SOPHIA,140,2,83,45
NC0407035,BEAUFORT CO NORTHSIDE REGIONAL WATER,Community water system,Ground water purchased,Beaufort,WASHINGTON,"22,467",18,5,86
NC0407040,BEAUFORT CO SOUTHSIDE,Community water system,Ground water,Beaufort,EDWARD,"9,263",19,46,90
NC0416010,"BEAUFORT, TOWN OF",Community water system,Ground water,Carteret,BEAUFORT,"4,164",13,10,112
NC0195104,"BEECH MOUNTAIN, TOWN OF",Community water system,Surface water,Watauga,BEECH MOUNTAIN,"2,468",16,29,69
NC0136106,BEECHBROOK S/D,Community water system,Ground water,Gaston,MCADENVILLE,97,6,34,32
NC0319110,BEECHWOOD COVE/POLKS LANDING,Community water system,Surface water purchased,Chatham,CHAPEL HILL,406,7,61,32
NC3079023,BELEWS LANDING S/D,Community water system,Ground water,Rockingham,,206,6,0,25
NC0407015,BELHAVEN WATER SYSTEM,Community water system,Ground water,Beaufort,BELHAVEN,"1,960",10,18,95
NC0474045,BELL ARTHUR WATER CORP,Community water system,Surface water purchased,Pitt,BELLARTHUR,"10,310",20,35,62
NC4092128,BELLA VISTA S/D,Community water system,Ground water,Wake,RALEIGH,120,6,1,5
NC0118101,BELLE MEADE S/D,Community water system,Ground water,Catawba,HICKORY,66,7,34,25
NC0392358,BELLE RIDGE S/D,Community water system,Ground water,Wake,APEX,143,6,1,16
NC0136107,BELMONT ABBEY COLLEGE,Community water system,Ground water,Gaston,BELMONT,"1,325",5,25,40
NC0136015,"BELMONT, CITY OF",Community water system,Surface water,Gaston,BELMONT,"11,613",10,8,359
NC0471111,BELVEDERE PLANTATION,Community water system,Ground water,Pender,HAMPSTEAD,"3,264",7,44,79
NC0279161,BENAJA CROSSING MH S/D,Community water system,Ground water,Rockingham,REIDSVILLE,99,4,26,24
NC0351025,"BENSON, TOWN OF",Community water system,Surface water purchased,Johnston,FOUR OAKS,"4,080",9,17,41
NC0111102,BENT CREEK WATER SYSTEM,Community water system,Ground water,Buncombe,BENT CREEK,800,10,9,35
NC4092158,BERKLEE RESERVE,Community water system,Ground water,Wake,WAKE FOREST,36,4,0,4
NC0136360,BERKLEY OAKS LLC,Community water system,Ground water,Gaston,GASTONIA,170,7,9,40
NC0392320,BERKSHIRE DOWNS,Community water system,Ground water,Wake,RALEIGH,277,6,5,21
NC0408085,BERTIE COUNTY REGIONAL WATER,Community water system,Ground water,Bertie,WINDSOR,"12,893",49,33,91
NC0136025,"BESSEMER CITY, CITY OF",Community water system,Surface water,Gaston,BESSEMER CITY,"5,500",11,41,365
NC0180186,BETHAVEN WATER SYSTEM,Community water system,Ground water,Rowan,SALISBURY,66,5,66,30
NC0474030,"BETHEL, TOWN OF",Community water system,Surface water purchased,Pitt,BETHEL,"1,640",10,16,48
NC0118284,BETTS BROOKE S/D WATER SYSTEM,Community water system,Surface water purchased,Catawba,NEWTON,46,2,4,17
NC0431020,"BEULAVILLE, TOWN OF",Community water system,Ground water,Duplin,BEULAVILLE,"1,326",17,21,48
NC0136108,BEVERLY ACRES.,Community water system,Ground water,Gaston,GASTONIA,137,5,62,33
NC0150170,BIG RIDGE S/D,Community water system,Ground water,Jackson,CASHIERS,51,8,121,30
NC0150169,BIG SHEEP CLIFF,Community water system,Ground water,Jackson,CASHIERS,152,14,52,33
NC0111030,"BILTMORE FOREST,  TOWN OF",Community water system,Surface water purchased,Buncombe,ASHEVILLE,"1,356",2,5,22
NC0368188,BINGHAM WOODS MHP,Community water system,Ground water,Orange,CHAPEL HILL,190,13,63,40
NC0392325,BIRCH FALLS S/D,Community water system,Ground water,Wake,RALEIGH,76,4,1,18
NC0368105,BIRCHWOOD MHP,Community water system,Ground water,Orange,DURHAM,312,13,151,26
NC4092020,BIRKLANDS S/D,Community water system,Ground water,Wake,CARY,58,4,0,10
NC0362035,"BISCOE, TOWN OF",Community water system,Surface water purchased,Montgomery,BISCOE,"2,319",5,12,61
NC0234197,BISHOPS RIDGE S/D,Community water system,Ground water,Forsyth,RURAL HALL,170,7,5,40
NC1056031,BLACK BEAR DEVELOPMENT,Community water system,Ground water,McDowell,NEBO,343,6,1,10
NC0498035,"BLACK CREEK, TOWN OF",Community water system,Ground water,Wilson,BLACK CREEK,"1,795",20,64,43
NC0111020,"BLACK MOUNTAIN, TOWN OF",Community water system,Surface water purchased,Buncombe,BLACK MOUNTAIN,"10,125",37,78,130
NC0351107,BLACKMON`S MHP,Community water system,Ground water,Johnston,SMITHFIELD,52,4,105,21
NC4092091,BLACKSTONE MEADOWS,Community water system,Ground water,Wake,WAKE FOREST,235,6,0,8
NC0309060,BLADEN CO WTR DIST-EAST BLADEN,Community water system,Ground water,Bladen,WHITE LAKE,"3,889",12,57,68
NC0309055,BLADEN CO WTR DIST-WEST BLADEN,Community water system,Ground water,Bladen,ELIZABETHTOWN,"12,014",24,56,137
NC0309015,"BLADENBORO, TOWN OF",Community water system,Ground water,Bladen,BLADENBORO,"3,225",11,15,85
NC4092097,BLALOCK FOREST S/D,Community water system,Ground water,Wake,WILLOW SPRINGS,287,6,0,6
NC4092134,BLANEY FARMS S/D,Community water system,Ground water,Wake,APEX,331,11,3,9
NC0326118,BLAWELL S/D,Community water system,Surface water purchased,Cumberland,STEDMAN,96,6,28,63
NC0195136,BLOOMFIELD APARTMENTS,Community water system,Ground water,Watauga,BOONE,31,4,40,26
NC0195020,"BLOWING ROCK, TOWN OF",Community water system,Surface water,Watauga,BLOWING ROCK,"1,637",8,11,80
NC3095004,BLUE RIDGE ESTATES,Community water system,Ground water,Watauga,BLOWING ROCK,36,9,250,22
NC0105101,BLUE RIDGE MANOR ASH LAKE-HOLIDAY LN SEC,Community water system,Ground water,Ashe,WEST JEFFERSON,46,6,112,35
NC0105104,BLUE RIDGE MANOR-NIKANOR SECT,Community water system,Ground water,Ashe,WEST JEFFERSON,308,5,60,53
NC0105109,BLUE RIDGE MNR ASHE LAKE BEAVER CRK SEC,Community water system,Ground water,Ashe,WEST JEFFERSON,51,5,35,29
NC3097018,BLUE RIDGE MTN CLUB,Community water system,Ground water,Wilkes,FERGUSON,439,9,5,4
NC0195169,BLUE RIDGE PRESERVATION INC,Community water system,Ground water,Watauga,BOONE,150,8,5,24
NC0106116,BLUE RIDGE VILLAGE,Community water system,Ground water,Avery,BANNER ELK,343,6,22,42
NC0197030,BLUE RIDGE WATER ASSOCIATION,Community water system,Surface water purchased,Wilkes,HAYS,"8,216",8,0,33
NC0392321,BLUE SKIES MH LIVING,Community water system,Ground water,Wake,APEX,115,11,20,23
NC3034012,BLUE WATER COVE S/D,Community water system,Ground water,Forsyth,STOKESDALE,30,4,11,18
NC0424075,"BOARDMAN, TOWN OF",Community water system,Ground water purchased,Columbus,BOARDMAN,165,3,18,29
NC0416028,BOGUE BANKS WATER CORPORATION,Community water system,Ground water,Carteret,EMERALD ISLE,"4,995",35,55,116
NC0123025,"BOILING SPRINGS, TOWN OF",Community water system,Surface water purchased,Cleveland,BOILING SPRINGS,"4,769",3,9,70
NC0424050,"BOLTON, TOWN OF",Community water system,Ground water,Columbus,BOLTON,681,6,57,48
NC0241193,BON AIRE ACRES,Community water system,Ground water,Guilford,GREENSBORO,81,5,31,26
NC0195010,"BOONE, TOWN OF",Community water system,Surface water,Watauga,BOONE,"19,028",17,16,128
NC0299020,"BOONVILLE, TOWN OF",Community water system,Ground water,Yadkin,BOONVILLE,"1,798",14,20,66
NC0180104,BOSTIAN HEIGHTS WTR SYSTEM,Community water system,Ground water,Rowan,CHINA GROVE,112,4,71,40
NC0181040,"BOSTIC,  TOWN OF",Community water system,Surface water purchased,Rutherford,BOSTIC,850,4,25,24
NC0464132,BOTTOMS FARM MHP,Community water system,Ground water,Nash,BAILEY,123,4,30,16
NC4092080,BRACKENRIDGE ESTATES S/D,Community water system,Ground water,Wake,HOLLY SPRINGS,48,4,0,11
NC0160264,BRADFIELD FARMS S/D,Community water system,Ground water,Mecklenburg,CHARLOTTE,"2,809",19,152,56
NC0195106,BRADFORD PARK,Community water system,Ground water,Watauga,BOONE,300,8,45,44
NC4392145,BRADFORD PLACE S/D,Community water system,Ground water,Wake,GARNER,95,4,1,10
NC0113148,BRAFFORD FARMS WATER SYSTEM,Community water system,Ground water,Cabarrus,CONCORD,152,7,102,32
NC5043001,BRAGG COMMUNITIES/NTA,Community water system,Surface water purchased,Harnett,CAMERON,"3,733",3,3,19
NC0326122,BRAGG ESTATES WATER SYSTEM,Community water system,Ground water,Cumberland,SPRING LAKE,363,7,72,69
NC0416163,BRANDYWINE BAY,Community water system,Ground water,Carteret,MOREHEAD CITY,"2,189",7,50,58
NC4092076,BRANSTON S/D,Community water system,Ground water,Wake,RALEIGH,110,4,0,8
NC0326124,BRAXTON HILLS/SIMMONS HEIGHTS,Community water system,Ground water,Cumberland,FAYETTEVILLE,614,6,39,33
NC4092110,BRAXTON POINTE S/D,Community water system,Ground water,Wake,GARNER,89,4,0,5
NC4392164,BRAYTON PARK S/D,Community water system,Ground water,Wake,HOLLY SPRINGS,140,6,3,14
NC0276449,BRENNAN PLACE MHP,Community water system,Ground water,Randolph,RANDLEMAN,48,4,50,61
NC0136235,BRENTWOOD MHP,Community water system,Ground water,Gaston,GASTONIA,99,4,17,31
NC0332117,BRENTWOOD S/D,Community water system,Ground water,Durham,DURHAM,69,5,6,27
NC0112103,BRENTWOOD WATER ASSOCIATION,Community water system,Surface water purchased,Burke,GLEN ALPINE,"5,127",5,2,43
NC0112104,BRENTWOOD-JAMESTOWN ROAD,Community water system,Surface water purchased,Burke,MORGANTON,"5,362",4,3,26
NC0326286,BRETTONWOOD HILLS S/D,Community water system,Surface water purchased,Cumberland,FAYETTEVILLE,187,3,24,33
NC0188010,"BREVARD, CITY OF",Community water system,Surface water,Transylvania,BREVARD,"10,686",6,4,192
NC0136262,BRIAR CREEK S/D,Community water system,Ground water,Gaston,MOUNT HOLLY,140,7,2,31
NC0392330,BRIARWOOD FARMS I,Community water system,Ground water,Wake,APEX,109,4,34,19
NC0392383,BRIARWOOD/KILDAIRE,Community water system,Ground water,Wake,RALEIGH,408,13,3,17
NC1050040,BRIDGE CREEK,Community water system,Ground water,Jackson,CASHIERS,25,6,4,10
NC0181103,BRIDGES S/D,Community water system,Ground water,Rutherford,FOREST CITY,215,6,83,19
NC0279174,BRIDLE WOOD S/D,Community water system,Ground water,Rockingham,STOKESDALE,25,4,4,14
NC1075006,BRIGHTS CREEK WATER SYSTEM,Community water system,Ground water,Polk,MILL SPRING,76,10,0,7
NC0286148,BRITISH WOODS,Community water system,Ground water,Surry,MT AIRY,51,4,51,36
NC0181035,BROAD RIVER WATER AUTHORITY,Community water system,Surface water,Rutherford,RUTHERFORDTON,"16,906",6,19,144
NC4392129,BROADHURST/TURNER DOWNS S/D,Community water system,Ground water,Wake,GARNER,600,9,1,19
NC0197035,BROADWAY WATER ASSOCIATION,Community water system,Surface water purchased,Wilkes,N WILKESBORO,"3,556",6,32,31
NC0353015,"BROADWAY, TOWN OF",Community water system,Surface water purchased,Lee,BROADWAY,"1,503",8,30,48
NC4092180,BROOK MEADOW S/D,Community water system,Ground water,Wake,APEX,25,4,0,1
NC2013008,BROOKDALE DEVELOPMENT,Community water system,Surface water purchased,Cabarrus,HARRISBURG,69,2,7,27
NC0286158,BROOKDALE S/D,Community water system,Ground water,Surry,MT AIRY,46,4,37,25
NC4392112,BROOKSTONE S/D,Community water system,Ground water,Wake,RALEIGH,396,12,1,19
NC0326127,BROOKWOOD COMM WTR SYSTEM,Community water system,Ground water,Cumberland,FAYETTEVILLE,"15,665",101,301,125
NC0118103,BROOKWOOD S/D,Community water system,Surface water purchased,Catawba,CONOVER,46,5,35,22
NC5026018,BROOKWOOD SOUTH/FAYETTEVILLE PWC,Community water system,Surface water purchased,Cumberland,,"2,357",6,2,18
NC0410045,BRUNSWICK COUNTY WATER SYSTEM,Community water system,Surface water,Brunswick,LELAND,"107,738",32,48,318
NC0410070,BRUNSWICK REGIONAL WATER AND SEWER H2GO,Community water system,Surface water purchased,Brunswick,LELAND,"36,142",12,11,148
NC0424040,"BRUNSWICK, TOWN OF",Community water system,Ground water,Columbus,BRUNSWICK,495,8,10,50
NC0187010,"BRYSON CITY, TOWN OF",Community water system,Surface water,Swain,BRYSON CITY,"4,222",6,89,138
NC0293115,BUCK SPRING PLANTATION I,Community water system,Ground water,Warren,LITTLETON,135,7,17,32
NC0351189,BUFFALO CREEK S/D,Community water system,Ground water,Johnston,ZEBULON,721,11,22,18
NC0105102,BUFFALO MEADOWS S/D,Community water system,Ground water,Ashe,JEFFERSON,120,5,109,33
NC0111161,BUFFALO MOUNTAIN,Community water system,Ground water,Buncombe,ASHEVILLE,187,7,78,36
NC0149141,BUFFALO SHOALS PARK,Community water system,Ground water,Iredell,STATESVILLE,86,4,91,27
NC0392144,BUFFALOE ROAD MHP,Community water system,Ground water,Wake,RALEIGH,162,7,342,28
NC0118280,BUNKER HILL ESTATES S/D,Community water system,Ground water,Catawba,CLAREMONT,178,6,136,48
NC0235025,"BUNN, TOWN OF",Community water system,Surface water purchased,Franklin,BUNN,915,15,88,33
NC0471010,"BURGAW, TOWN OF",Community water system,Ground water,Pender,BURGAW,"4,250",10,23,74
NC0112080,BURKE CO-AIRPORT RHODHISS,Community water system,Surface water purchased,Burke,HICKORY,559,3,13,22
NC0112075,BURKE CO-ENOLA HENRY RIVER,Community water system,Surface water purchased,Burke,MORGANTON,"4,268",6,4,47
NC0112132,BURKE CO-MINERAL SPRINGS,Community water system,Surface water purchased,Burke,VALDESE,483,4,27,22
NC1012015,BURKE CO-MUSIC MOUNTAIN,Community water system,Surface water purchased,Burke,MORGANTON,402,3,10,17
NC0112065,BURKE COUNTY OMARA,Community water system,Surface water purchased,Burke,RUTHERFORD COL,350,2,7,31
NC0201010,"BURLINGTON, CITY OF",Community water system,Surface water,Alamance,BURLINGTON,"54,000",14,52,110
NC0392212,BURNETTE`S MHP,Community water system,Ground water,Wake,GARNER,47,5,165,23
NC0100010,"BURNSVILLE, TOWN OF",Community water system,Surface water,Yancey,BURNSVILLE,"4,003",8,101,132
NC0276104,BUSY-B MHP,Community water system,Ground water,Randolph,RANDLEMAN,83,6,68,31
NC0299112,C W MOBILE HOME PARK,Community water system,Ground water,Yadkin,EAST BEND,97,7,17,30
NC0113146,CABARRUS ACRES WATER SYSTEM,Community water system,Ground water,Cabarrus,MIDLAND,46,6,68,31
NC0114047,CALDWELL CO WATER SYSTEM-SE,Community water system,Surface water purchased,Caldwell,HUDSON,"15,007",6,7,66
NC0114048,CALDWELL COUNTY WATER--NORTH,Community water system,Surface water purchased,Caldwell,HUDSON,265,3,1,28
NC0114045,CALDWELL COUNTY WATER--WEST,Community water system,Surface water purchased,Caldwell,HUDSON,"8,662",5,8,30
NC1014001,CALDWELL COUNTY- ADDISON LANE,Community water system,Surface water purchased,Caldwell,HUDSON,140,3,8,17
NC0431045,"CALYPSO, TOWN OF",Community water system,Ground water,Duplin,CALYPSO,660,11,38,52
NC4092151,CAMBERLY S/D,Community water system,Ground water,Wake,WAKE FOREST,38,11,1,3
NC0392251,CAMBRIDGE S/D,Community water system,Ground water,Wake,RALEIGH,185,7,9,16
NC0392110,CAMELOT MHP,Community water system,Ground water,Wake,KNIGHTDALE,34,4,40,18
NC0392111,CAMELOT S/D,Community water system,Ground water,Wake,GARNER,615,11,9,23
NC0145169,CAMELOT S/D,Community water system,Surface water purchased,Henderson,HENDERSONVILLE,70,2,9,14
NC0363554,CAMERON BOYS CAMP,Community water system,Ground water,Moore,CAMERON,75,4,16,35
NC0136397,CAMERON POINT S/D,Community water system,Ground water,Gaston,GASTONIA,86,4,5,24
NC0363040,"CAMERON, TOWN OF",Community water system,Ground water,Moore,CAMERON,490,14,528,95
NC0362030,"CANDOR, TOWN OF",Community water system,Surface water purchased,Montgomery,CANDOR,875,5,14,52
NC0279147,CANDY CREEK ESTATES,Community water system,Ground water,Rockingham,GREENSBORO,99,5,15,31
NC3001008,CANE CREEK S/D,Community water system,Ground water,Alamance,SNOW CAMP,185,6,0,17
NC0276125,CANTEBURY TRAILS,Community water system,Ground water,Randolph,CLIMAX,279,8,24,39
NC0332122,CANTERBURY ESTATES,Community water system,Ground water,Durham,DURHAM,276,6,9,20
NC0184135,CANTON HEIGHTS MHP,Community water system,Ground water,Stanly,ALBEMARLE,132,7,24,29
NC0144015,"CANTON, TOWN OF",Community water system,Surface water,Haywood,CANTON,"7,799",6,58,190
NC0332126,CARDENS CREEK S/D,Community water system,Ground water,Durham,DURHAM,183,7,32,28
NC0149104,CARDINAL ACRES,Community water system,Ground water,Iredell,MOORESVILLE,127,7,33,29
NC0136112,CARMEL PARK,Community water system,Ground water,Gaston,GASTONIA,107,6,66,27
NC0368125,CAROLANTIC PARK,Community water system,Ground water,Orange,HILLSBOROUGH,46,8,135,38
NC0465015,CAROLINA BEACH WATER SYSTEM,Community water system,Ground water,New Hanover,CAROLINA BEACH,"11,346",30,21,241
NC0362106,CAROLINA FOREST  WATER SYSTEM,Community water system,Surface water purchased,Montgomery,TROY,596,3,26,29
NC0157112,CAROLINA HIGHLANDS RETIRE PARK,Community water system,Ground water,Macon,FRANKLIN,45,6,33,28
