PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
NC4091011,DOLLAR GENERAL #14737,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Revised Total Coliform Rule,3B,"Monitoring, Additional Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0286598,SALEM FORK CHRISTIAN CHURCH,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Returned to Compliance,30-NOV-2021,SOX,State Compliance achieved,,,1,23-DEC-2021
NC1081030,EARTHHAVEN COUNCIL HALL,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,35,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Returned to Compliance,10-NOV-2021,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC5026029,DOLLAR GENERAL STORE #15984,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,75,Revised Total Coliform Rule,3B,"Monitoring, Additional Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC3041114,TIRE MAX,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC1011012,STOCKTON FARM COUNTRY STORE,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,100,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0181430,POINT OF VIEW RESTAURANT,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,30,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0276563,CAPTAIN TOMS SEAFOOD,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC1087007,COUNTRY GIRL`S RV PARK,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,40,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC3099022,RAGAPPLE LASSIE VINEYARD,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0392978,CATHY LEE CHILD DEVELOPMENT CENTER,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,70,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0241660,BETHLEHEM CHILD CARE CENTER,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,40,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0100459,ARTHUR MORGAN SCHOOL,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,42,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0392978,CATHY LEE CHILD DEVELOPMENT CENTER,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,70,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0235488,NELSON HEADSTART DAYCARE,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,58,Volatile Organic Chemicals,02,"Maximum Contaminant Level Violation, Average",MCL,Y,Carbon tetrachloride,01-OCT-2021,31-DEC-2021,Known,,SIF,State Public Notification received,,,2,23-DEC-2021
NC3041118,APPLES CHAPEL CHRISTIAN DAYCARE,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,100,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Returned to Compliance,17-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0149484,SOUTHVIEW CHRISTIAN SCHOOL,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,150,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SFL,State Administrative/Compliance Order without penalty issued,,,3,23-DEC-2021
NC0150515,LAUREL TERRACE,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,40,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Returned to Compliance,16-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC3095014,MOUNTAIN PATHWAYS SCHOOL ANNEX,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,73,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SFL,State Administrative/Compliance Order without penalty issued,,,3,23-DEC-2021
NC0235521,KIDS ZONE DAYCARE,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,63,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SFL,State Administrative/Compliance Order without penalty issued,,,3,23-DEC-2021
NC3029003,ROCKLYN SUBDIVISION PHASE 2,Region 4,North Carolina,Community water system,State,Surface water purchased,Active,,89,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Returned to Compliance,29-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0239417,TOLER OAKHILL SCHOOL,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,250,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0136534,CHAPEL GROVE ELEM SCHOOL,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,511,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIF,State Public Notification received,,,3,23-DEC-2021
NC0217101,CAROLINA MANOR MHP,Region 4,North Carolina,Community water system,State,Ground water,Active,,38,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0157152,CULLASAJA RIVER S/D,Region 4,North Carolina,Community water system,State,Ground water,Active,,53,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0286134,BAILEY MHP  NO 1,Region 4,North Carolina,Community water system,State,Ground water,Active,,94,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0368152,OAK GROVE MHP,Region 4,North Carolina,Community water system,State,Ground water,Active,,64,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0217101,CAROLINA MANOR MHP,Region 4,North Carolina,Community water system,State,Ground water,Active,,38,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0279121,STANFIELD MH COURT,Region 4,North Carolina,Community water system,State,Ground water,Active,,70,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC3041109,AUTUMN RIDGE S/D,Region 4,North Carolina,Community water system,State,Ground water,Active,,36,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Returned to Compliance,29-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC3041104,SHILOH SUBDIVISION,Region 4,North Carolina,Community water system,State,Ground water,Active,,25,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Returned to Compliance,29-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC5083004,SCOTLAND CO WATER - MALLOY RD,Region 4,North Carolina,Community water system,State,Ground water purchased,Active,,330,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Returned to Compliance,29-NOV-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0286134,BAILEY MHP  NO 1,Region 4,North Carolina,Community water system,State,Ground water,Active,,94,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Returned to Compliance,30-NOV-2021,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0279121,STANFIELD MH COURT,Region 4,North Carolina,Community water system,State,Ground water,Active,,70,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Returned to Compliance,29-NOV-2021,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0319025,GOLDSTON-GULF SANITARY DIST,Region 4,North Carolina,Community water system,State,Surface water purchased,Active,,"1,285",Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,01-OCT-2021,31-OCT-2021,Known,,SFO,State Administrative/Compliance Order with penalty issued,Y,,3,23-DEC-2021
NC0319025,GOLDSTON-GULF SANITARY DIST,Region 4,North Carolina,Community water system,State,Surface water purchased,Active,,"1,285",Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chlorine,01-OCT-2021,31-DEC-2021,Known,,SIE,State Public Notification requested,Y,,3,23-DEC-2021
NC0319025,GOLDSTON-GULF SANITARY DIST,Region 4,North Carolina,Community water system,State,Surface water purchased,Active,,"1,285",Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0410010,SOUTHPORT CITY OF,Region 4,North Carolina,Community water system,State,Surface water purchased,Active,,"6,447",Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0472101,MINZIE`S CREEK SANITARY DISTRICT,Region 4,North Carolina,Community water system,State,Ground water purchased,Active,,191,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SFL,State Administrative/Compliance Order without penalty issued,,,3,23-DEC-2021
NC0286175,ORCHARD VIEW PARK,Region 4,North Carolina,Community water system,State,Ground water,Active,,109,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0120109,GRANNY SQUIRREL,Region 4,North Carolina,Community water system,State,Ground water,Active,,142,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0113135,SPRING VALLEY MH S/D,Region 4,North Carolina,Community water system,State,Ground water,Active,,168,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0122107,EAGLE`S VIEW S/D,Region 4,North Carolina,Community water system,State,Ground water,Active,,127,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0122101,CHATUGE VILLAGE,Region 4,North Carolina,Community water system,State,Ground water,Active,,267,Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SIE,State Public Notification requested,,,3,23-DEC-2021
NC0187124,NANTAHALA VILLAGE,Region 4,North Carolina,Community water system,State,Ground water,Active,,135,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,01-OCT-2021,,Open,,SFL,State Administrative/Compliance Order without penalty issued,,,3,23-DEC-2021
NC0368125,CAROLANTIC PARK,Region 4,North Carolina,Community water system,State,Ground water,Active,,46,Public Notice Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,22-SEP-2021,,Returned to Compliance,18-OCT-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0347015,NORTHWEST WATER SUPPLY INC,Region 4,North Carolina,Community water system,State,Ground water,Active,,"1,105",Public Notice Rule,75,Public Notification Violation for NPDWR Violation,Other,N,Public Notice,22-SEP-2021,,Returned to Compliance,20-OCT-2021,SOX,State Compliance achieved,,,3,23-DEC-2021
NC0319486,EMMAUS BAPTIST CHURCH,Region 4,North Carolina,Non-Transient non-community system,State,Ground water,Active,,129,Stage 2 Disinfectants and Disinfection Byproducts Rule,35,Failure Submit IDSE/Subpart V Plan Rpt,MR,N,Stage 2 Disinfectants and Disinfection Byproducts Rule,20-SEP-2021,,Open,,SIE,State Public Notification requested,N,,3,18-NOV-2021
NC2080063,MORNING STAR BAPTIST CHURCH,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,175,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-SEP-2021,,Returned to Compliance,04-OCT-2021,SOX,State Compliance achieved,,,3,18-NOV-2021
NC0465623,ROYS BAIT & TACKLE SHOP,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,50,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-SEP-2021,,Returned to Compliance,01-OCT-2021,SIE,State Public Notification requested,,,3,18-NOV-2021
NC4068027,ANDERSON COMMUNITY PARK,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,25,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-SEP-2021,,Returned to Compliance,05-NOV-2021,SOX,State Compliance achieved,,,3,18-NOV-2021
NC0368479,NEW AMERICAN CONVENIENCE STORE,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,200,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-SEP-2021,,Returned to Compliance,04-NOV-2021,SOX,State Compliance achieved,,,3,18-NOV-2021
NC0392774,POINT CHURCH - FUQUAY,Region 4,North Carolina,Transient non-community system,State,Ground water,Active,,300,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-SEP-2021,,Returned to Compliance,18-NOV-2021,SOX,State Compliance achieved,,,3,18-NOV-2021
